t,0.050000,0.150000,0.250000,0.350000,0.450000,0.550000,0.650000,0.750000,0.850000,0.950000,1.050000,1.150000,1.250000,1.350000,1.450000,1.550000,1.650000,1.750000,1.850000,1.950000,2.050000,2.150000,2.250000,2.350000,2.450000,2.550000,2.650000,2.750000,2.850000,2.950000,3.050000,3.150000,3.250000,3.350000,3.450000,3.550000,3.650000,3.750000,3.850000,3.950000,4.050000,4.150000,4.250000,4.350000,4.450000,4.550000,4.650000,4.750000,4.850000,4.950000,5.050000,5.150000,5.250000,5.350000,5.450000,5.550000,5.650000,5.750000,5.850000,5.950000,6.050000,6.150000,6.250000,6.350000,6.450000,6.550000,6.650000,6.750000,6.850000,6.950000,7.050000,7.150000,7.250000,7.350000,7.450000,7.550000,7.650000,7.750000,7.850000,7.950000,8.050000,8.150000,8.250000,8.350000,8.450000,8.550000,8.650000,8.750000,8.850000,8.950000,9.050000,9.150000,9.250000,9.350000,9.450000,9.550000,9.650000,9.750000,9.850000,9.950000
0.000000,1.266955485e-21,2.302583317e-20,3.786516931e-19,5.63423561e-18,7.585787228e-17,9.241380709e-16,1.018693696e-14,1.016063679e-13,9.169988415e-13,7.48836835e-12,5.533197382e-11,3.699437363e-10,2.238029186e-09,1.225085403e-08,6.067887722e-08,2.719438608e-07,1.102786735e-06,4.046451693e-06,1.343469274e-05,4.036004748e-05,0.0001097099837,0.0002698430172,0.000600546679,0.001209352501,0.002203583928,0.003633095694,0.005419941885,0.007316156289,0.008935973471,0.009875778005,0.009875778005,0.008935973471,0.007316156289,0.005419941885,0.003633095694,0.002203583928,0.001209352501,0.000600546679,0.0002698430172,0.0001097099837,4.036004748e-05,1.343469274e-05,4.046451693e-06,1.102786735e-06,2.719438608e-07,6.067887722e-08,1.225085403e-08,2.238029186e-09,3.699437363e-10,5.533197382e-11,7.48836835e-12,9.169988415e-13,1.016063679e-13,1.018693696e-14,9.241380709e-16,7.585787228e-17,5.63423561e-18,3.786516931e-19,2.302583317e-20,1.266955485e-21,6.307799937e-23,2.84161356e-24,1.158304316e-25,4.272193198e-27,1.425770569e-28,4.305454055e-30,1.176410316e-31,2.908501159e-33,6.506541587e-35,1.317048386e-36,2.412258264e-38,3.99775732e-40,5.994867699e-42,8.134171615e-44,9.986598975e-46,1.109410934e-47,1.115161649e-49,1.014270421e-51,8.347189002e-54,6.215803631e-56,4.188175542e-58,2.553424485e-60,1.408613067e-62,7.031224401e-65,3.175709413e-67,1.297839853e-69,4.799234901e-72,1.60580742e-74,4.861669875e-77,1.331827635e-79,3.301270649e-82,7.404313372e-85,1.50265404e-87,2.759330791e-90,4.584786146e-93,6.892947183e-96,9.376945032e-99,1.154219325e-101,1.285540799e-104,1.295549286e-107
1.000000,2.250086048e-06,1.982244413e-05,1.999866814e-05,1.999999467e-05,1.999999999e-05,2e-05,2.000000001e-05,2.00000001e-05,2.000000089e-05,2.00000073e-05,2.000005397e-05,2.0000361e-05,2.000218491e-05,2.00119657e-05,2.005929281e-05,2.026579712e-05,2.107732411e-05,2.394230963e-05,3.298342261e-05,5.828899068e-05,0.0001205196435,0.0002537878577,0.0005011611449,0.0009009704255,0.001472879512,0.00221475466,0.003108490118,0.004125604281,0.005228545695,0.006367704028,0.007473568954,0.008441418396,0.009104230764,0.009196401382,0.008361954652,0.006396041171,0.003792960995,0.001678571307,0.0005951622291,0.0001988338695,7.413951069e-05,3.605386991e-05,2.456151674e-05,2.121548612e-05,2.029888245e-05,2.006714003e-05,2.00137093e-05,2.000253935e-05,2.00004264e-05,2.00000649e-05,2.000000895e-05,2.000000112e-05,2.000000013e-05,2.000000001e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05
2.000000,1.373131275e-06,3.867442926e-05,3.995814386e-05,3.999913104e-05,3.999998746e-05,3.999999987e-05,4.000000001e-05,4.000000009e-05,4.000000084e-05,4.000000687e-05,4.000005082e-05,4.000034027e-05,4.000206169e-05,4.001130446e-05,4.005608925e-05,4.025176965e-05,4.102152909e-05,4.373727553e-05,5.225894803e-05,7.570599855e-05,0.0001313229173,0.0002436877652,0.0004372646078,0.0007270663335,0.001116209437,0.001600015971,0.002170253349,0.002817183802,0.00353011393,0.00429712272,0.005104162477,0.005933315276,0.006759422612,0.007543011623,0.008213791464,0.008628204956,0.008460604268,0.00704574607,0.003971820483,0.001109083943,0.0001830006415,6.339088252e-05,4.573847133e-05,4.149045885e-05,4.036944824e-05,4.008476868e-05,4.001779633e-05,4.000340377e-05,4.000059229e-05,4.000009375e-05,4.00000135e-05,4.000000177e-05,4.000000021e-05,4.000000002e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05
3.000000,5.570581121e-07,5.603273043e-05,5.97400834e-05,5.998814965e-05,5.999960492e-05,5.999998997e-05,5.999999981e-05,6.000000008e-05,6.000000077e-05,6.000000629e-05,6.000004663e-05,6.000031265e-05,6.000189729e-05,6.001042103e-05,6.005180365e-05,6.023299791e-05,6.094714985e-05,6.346874984e-05,7.135807145e-05,9.28072436e-05,0.0001423134222,0.000238025391,0.0003944797997,0.0006177026736,0.0009068501662,0.001257923608,0.001665952324,0.002125816937,0.002632451942,0.003180791225,0.003765581476,0.004381075927,0.005020543928,0.005675420308,0.00633365539,0.006976052562,0.00756669233,0.008022693183,0.00810248051,0.007047408825,0.003772861096,0.0006845812939,8.353911355e-05,6.212749631e-05,6.049799436e-05,6.011678275e-05,6.002538402e-05,6.000505933e-05,6.000092184e-05,6.000015344e-05,6.000002334e-05,6.000000325e-05,6.000000041e-05,6.000000005e-05,6.000000001e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05
4.000000,3.173603882e-06,7.162580575e-05,7.910846586e-05,7.993138698e-05,7.999604116e-05,7.999982203e-05,7.99999936e-05,7.999999989e-05,8.000000068e-05,8.000000564e-05,8.000004183e-05,8.000028095e-05,8.000170834e-05,8.00094037e-05,8.004685831e-05,8.021129803e-05,8.086116845e-05,8.316033973e-05,9.03482147e-05,0.0001097402462,0.0001536251429,0.0002357925126,0.0003652893476,0.0005443542429,0.000771132333,0.001042368313,0.001354596568,0.001704510785,0.002089028007,0.002505248841,0.002950379998,0.003421635244,0.003916109314,0.004430602772,0.004961349342,0.005503535372,0.006050327056,0.006590537882,0.007101699282,0.00752373181,0.007638740271,0.006611293126,0.003220629117,0.0004494554612,8.59419571e-05,8.02033298e-05,8.003899061e-05,8.000809112e-05,8.000155166e-05,8.000027324e-05,8.000004417e-05,8.000000656e-05,8.000000089e-05,8.000000011e-05,8.000000001e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05
5.000000,2.470715092e-06,8.535391707e-05,9.776979546e-05,9.974609997e-05,9.997790175e-05,9.999847833e-05,9.999991483e-05,9.999999611e-05,0.0001000000004,0.0001000000049,0.0001000000368,0.0001000002474,0.000100001508,0.0001000083221,0.0001000415869,0.0001001881073,0.0001007691222,0.0001028308464,0.0001092833848,0.0001266217715,0.0001653532969,0.0002362995114,0.000345406874,0.0004932271871,0.0006777009529,0.0008961216727,0.001145849816,0.001424486692,0.001729877735,0.002060069783,0.002413258955,0.002787737788,0.003181841053,0.003593885483,0.004022094593,0.004464492251,0.004918731049,0.005381773613,0.005849191501,0.006313248701,0.006756124427,0.007119541926,0.007153868915,0.005897229897,0.002481544007,0.000315007782,0.0001027999255,0.0001000321268,0.0001000028775,0.0001000005165,0.0001000000889,0.0001000000141,0.0001000000021,0.0001000000003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
6.000000,1.734228541e-06,9.723863601e-05,0.0001154299902,0.0001192924544,0.0001199147671,0.0001199917805,0.000119999349,0.0001199999569,0.0001199999981,0.0001200000041,0.0001200000317,0.0001200002138,0.0001200013067,0.0001200072326,0.0001200362602,0.0001201645972,0.0001206755458,0.0001224957105,0.0001282077317,0.0001435444192,0.0001775625784,0.0002390486038,0.0003321841354,0.0004567595321,0.0006107467022,0.0007918243347,0.0009978539711,0.001226959668,0.001477501385,0.001748028901,0.002037237885,0.002343931705,0.002666987825,0.003005326428,0.003357878283,0.003723547831,0.004101165069,0.004489413921,0.004886709209,0.005290945858,0.005698863908,0.006103976617,0.00648798764,0.006779091004,0.006650137923,0.004999350768,0.001688857243,0.0002202711536,0.0001212508215,0.0001200116851,0.0001200002709,0.0001200000323,0.000120000005,0.0001200000007,0.0001200000001,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012
7.000000,1.042359142e-06,0.0001073891964,0.0001318373377,0.000138378349,0.0001397450257,0.0001399675752,0.0001399965869,0.000139999697,0.0001399999774,0.0001400000021,0.0001400000267,0.0001400001815,0.0001400011126,0.0001400061787,0.0001400310893,0.0001401416882,0.0001405840292,0.0001421672224,0.000147156317,0.0001605799239,0.0001902972535,0.0002436848526,0.0003239357147,0.0004305260744,0.0005615292648,0.0007148940523,0.0008888038256,0.001081709285,0.001292285763,0.001519384421,0.001761991419,0.002019195603,0.002290162658,0.002574113543,0.002870305302,0.003178012449,0.003496506915,0.003825033673,0.004162776996,0.004508806442,0.004861974033,0.005220671212,0.005582093778,0.005939447387,0.006269347946,0.006469498594,0.006080085997,0.003920913428,0.0009829185141,0.0001745263591,0.0001404405579,0.0001400048025,0.0001400000599,0.0001400000024,0.0001400000003,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014
8.000000,4.03594052e-07,0.0001159621279,0.0001468097418,0.0001567782945,0.0001593664664,0.0001598982333,0.0001599863788,0.0001599984535,0.0001599998492,0.0001599999901,0.0001600000214,0.0001600001514,0.0001600009315,0.0001600051921,0.00016002623,0.0001601200686,0.0001604972881,0.0001618547716,0.0001661559917,0.0001777821741,0.0002035861495,0.0002499504917,0.0003195440827,0.0004117679387,0.0005248186594,0.0006568372152,0.0008062202722,0.0009716321376,0.001151953351,0.001346229555,0.001553631595,0.001773425761,0.002004951363,0.002247603281,0.002500817745,0.00276406002,0.003036812911,0.003318564962,0.003608796956,0.003906964389,0.004212471185,0.004524622716,0.004842521607,0.00516477415,0.005488460568,0.005804849958,0.006079250257,0.006151692439,0.005357926088,0.002708365697,0.0004981450864,0.0001687312242,0.0001601217189,0.0001600015761,0.0001600000198,0.0001600000003,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016
